id_participante,id_publicacion,fecha_publicacion,num_palabras,num_caracteres,longitud_palabra_prom,num_signos_exclamacion,num_signos_pregunta,num_puntos,num_comas,palabras_unicas,riqueza_lexica,num_pronombres_1era_sing,num_pronombres_1era_plur,num_pronombres_2da,num_pronombres_3era,pct_pronombres_1era_sing,pct_pronombres_1era_plur,pct_pronombres_2da,pct_pronombres_3era,num_absolutistas,num_negativas,num_causales,num_tentativas,pct_absolutistas,pct_negativas,pct_causales,pct_tentativas,num_emojis,emojis_por_palabra,sentimiento,score_pos,score_neg,score_neu,emocion,score_alegria,score_tristeza,score_enojo,score_miedo,score_sorpresa,score_disgusto
EST001,EST001_001,2025-05-19 04:46:00,20,115,4.8,0,1,1,2,19,0.95,1,1,0,0,5.0,5.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,5.0,0,0.0,NEU,0.1437,0.0198,0.8365,others,0.0028,0.0095,0.0004,0.0016,0.0026,0.0006
EST001,EST001_002,2025-05-19 06:06:00,8,39,4.0,0,0,0,1,8,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,POS,0.6337,0.0157,0.3507,others,0.0145,0.0024,0.001,0.002,0.0032,0.0009
EST001,EST001_003,2025-05-19 06:08:00,5,16,2.4,0,0,0,0,5,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,NEU,0.1116,0.0812,0.8072,others,0.0614,0.0231,0.0045,0.0035,0.0262,0.0059
EST001,EST001_004,2025-05-19 06:09:00,26,137,4.31,0,0,1,2,22,0.846,0,0,1,5,0.0,0.0,3.85,19.23,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,NEU,0.0455,0.0502,0.9043,others,0.0009,0.002,0.0008,0.001,0.002,0.0004
EST001,EST001_005,2025-05-19 06:13:00,12,54,3.58,0,0,0,1,12,1.0,0,0,0,1,0.0,0.0,0.0,8.33,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,NEU,0.0191,0.0292,0.9517,others,0.0008,0.0013,0.0006,0.0007,0.0024,0.0004
EST001,EST001_006,2025-05-19 06:13:00,23,104,3.57,0,0,1,1,18,0.783,0,0,0,4,0.0,0.0,0.0,17.39,0,1,0,0,0.0,4.35,0.0,0.0,0,0.0,NEU,0.0268,0.0945,0.8787,others,0.0015,0.001,0.0004,0.001,0.0022,0.0003
EST001,EST001_007,2025-05-19 06:16:00,15,71,3.8,0,0,0,1,14,0.933,0,0,0,2,0.0,0.0,0.0,13.33,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,NEU,0.0236,0.0297,0.9467,others,0.0005,0.0013,0.0004,0.0008,0.0015,0.0002
EST001,EST001_008,2025-05-19 06:16:00,13,53,3.15,0,0,0,1,12,0.923,0,0,0,2,0.0,0.0,0.0,15.38,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,NEU,0.0265,0.0224,0.9511,others,0.0008,0.0009,0.0004,0.0006,0.0011,0.0002
EST001,EST001_010,2025-06-02 11:43:00,6,31,4.33,0,0,0,0,6,1.0,0,0,0,1,0.0,0.0,0.0,16.67,0,0,0,1,0.0,0.0,0.0,16.67,0,0.0,NEU,0.0499,0.059,0.8911,others,0.0015,0.0023,0.0016,0.001,0.0032,0.0008
EST001,EST001_013,2025-06-02 06:09:00,6,25,3.33,0,0,0,1,5,0.833,0,0,1,0,0.0,0.0,16.67,0.0,0,1,0,0,0.0,16.67,0.0,0.0,1,0.143,NEG,0.0191,0.8419,0.139,others,0.0024,0.0132,0.0044,0.0005,0.0014,0.0019
