id_publicacion,id_participante,texto_publicacion,sentimiento,sentimiento_manual
EST015_055,EST015,Me da mala espina,NEG,NEG
EST003_174,EST003,Bien le hubieran dicho al ingeniero cuando les dije,NEG,NEG
EST006_264,EST006,"todo falso en ese mensaje, ni el link nos compartio",NEG,NEG
EST007_961,EST007,No tiene chiste mostrar propuestas sin la opinión delos inges,NEG,NEG
EST015_018,EST015,Policía y juzgados,NEG,NEG
EST006_353,EST006,Ahorita nomas la pura sangre xd,NEG,NEG
EST001_1633,EST001,"Por ejemplo, a mi no me gusta usar la consola, y el ingeniero de tópico, le encanta hacer todo por código o consola, cuando yo diría que usando Postman o Github Desktop, se hace lo mismo y más rápido",NEG,NEG
EST004_1544,EST004,Que zorrita más metida está,NEG,NEG
EST001_393,EST001,Dickson desfalco un orfanato 😔,NEG,NEG
EST009_055,EST009,Que costaba hacer esta mierda en grupo,NEG,NEG
EST004_1074,EST004,Se va a quedar sin clase por vos dice,NEG,NEG
EST001_508,EST001,@⁨Jackyr IS⁩ 10/6/25 3:29 p. m. - Cambiaste el ícono del grupo.,NEG,NEU
EST001_508,EST001,@⁨Jackyr IS⁩ 10/6/25 3:29 p. m. - Cambiaste el ícono del grupo.,NEG,NEU
EST011_013,EST011,"Yo buscando la tarea como pendejo, y esa la tengo en la PC de escritorio 😐",NEG,NEG
EST008_246,EST008,Hasta yo le dije que estuvo mal como le hablo pero mejor hubiera dejado que lo agarrara a verga por maje y prepotente.,NEG,NEG
EST002_098,EST002,"Ubicate muchacho, compare, pero no ofenda 🙃, eso parece lago de aguas negras y no mar.",NEG,NEG
EST006_265,EST006,"dog, es que yo ya dije, por esta monda en mi perra vida vuelvo a pasar",NEG,NEG
EST007_100,EST007,Los que no vengan se atienen a nuestras decisiones,NEG,NEG
EST015_491,EST015,Me molesta que hayamos gastado tiempo y dinero en nada la verdad,NEG,NEG
EST004_1243,EST004,Como es María ya se va a poner hacer una de esas historias esquizofrénicas,NEG,NEG
EST002_915,EST002,"Hahaha, los está agarrando con odio.",NEG,NEG
EST011_039,EST011,"@⁨Miguel Zelaya⁩ una pregunta, va que en tu plantilla no tenes ningun apartado de ""packages"" o donde están los que se supone que se necesitan o es que estan ocultos",NEG,NEU
EST001_1299,EST001,"Nada como tener que pagar el precio de procrastinar, y dejarle el trabajo a tu yo del futuro",NEG,NEG
EST003_233,EST003,"En España si funciona, pero todo es generalizado",NEG,NEU
EST003_344,EST003,"Jodas, no caigo en eso",NEG,NEG
EST001_647,EST001,Ctm Dickson Alvarado,NEG,NEG
EST006_291,EST006,"Nombe, 25? si llevo 40 y me falta parte del cap 5",NEG,NEU
EST001_1997,EST001,Y tu amiga hasta hate a Katie le tiraban jajaja,NEG,NEG
EST004_1339,EST004,La verdad 😂 No se nos vayan a matar,NEG,NEG
EST007_152,EST007,JAJAJA y nosotros buscando hasta la dirección de la abuela de Mavet,NEG,NEG
EST004_1263,EST004,Las 3 clases de sistemas estarán feas,NEG,NEG
EST001_1942,EST001,Estoy con datos,NEG,NEU
EST010_085,EST010,No creo que te den desayuno a las 5 o 6 de la mañana,NEG,NEU
EST015_671,EST015,"Y si Miguel, se ve feo, pero ni modo",NEG,NEG
EST002_384,EST002,Dice la china que le ayuden llenando esa encuesta.,NEU,NEU
EST004_1138,EST004,Respondo le qué tal sea una cariñosa que te pagó César,NEU,NEU
EST015_631,EST015,"Heysser, anda dormí",NEU,NEU
EST015_332,EST015,"Mientras no sean para venta, en una cantidad razonable",NEU,NEU
EST015_128,EST015,🚨🚨🚨🚨🚨🚨 *EL DINERO PARA HOY* *L. 3000 PARA HOSPEDAJE*,NEU,NEU
EST015_616,EST015,Que mande el original decile,NEU,NEU
EST015_617,EST015,Sale más barato,NEU,NEU
EST006_326,EST006,Bueno esa voy a dejar,NEU,NEU
EST001_352,EST001,Solo el tag,NEU,NEU
EST001_1269,EST001,O de baterías?,NEU,NEU
EST011_032,EST011,Pero no creí que estaba esperando el momento para desquitarsela,NEU,NEG
EST004_1419,EST004,Te llamas María?,NEU,NEU
EST003_399,EST003,Fernanda Funez ha compartido una publicación.,NEU,NEU
EST001_1718,EST001,Capitulo o subcapítulos prra,NEU,NEU
EST010_075,EST10,A mi una de ellas me dijo que le gusto Ángel,NEU,NEU
EST002_834,EST002,"Pero no he revisado, creo que está en el campus.",NEU,NEU
EST003_033,EST003,Igual Selvin me dijo que me prestaría uno,NEU,NEU
EST001_302,EST001,"De hecho tiene sentido, los fue añadiendo en orden. Miguel, Dickson, luego en el chat solo está el de Suyapa, y luego sigue Lester, etc",NEU,NEU
EST007_417,EST007,@⁨Erick Blanco IS⁩ cuanto cobras por esas,NEU,NEU
EST006_161,EST006,Pues yo supuse que asi era tambien,NEU,NEU
EST006_070,EST006,3 tenés vos,NEU,NEU
EST003_112,EST003,"Dura un año, pero en mi casa ya se apago",NEU,NEU
EST009_119,EST009,Ya lo terminaste vos Kenny?,NEU,NEU
EST004_004,EST004,En menos de un mes,NEU,NEU
EST015_838,EST015,"🚨🚨🚨 *¡¡¡Urgente!!!*🚨🚨🚨 ¡¡Ya se acerca nuestro aniversario!!  Y como sabrán, hay ciertos gastos que debemos sufragar. Por ese motivo, les pedimos su colaboración de *L.50* para sufragar los gastos de alimentacion para todos, piñatas, y decoración, tanto del día miércoles, como de la Feria Vocacional de la Semana Anterior. Estaremos a partir de las 9:00 am en la cuarta planta recolectando fondos.  *¡¡Gracias a Todos por su apoyo!!*",NEU,POS
EST007_805,EST007,Decile que si la abogada que tiene ese papel va andar ahi,NEU,NEU
EST006_041,EST006,No se supone que hay que agregar eso en orden?,NEU,NEU
EST006_242,EST006,"Hoy no va a haber grabación, alguien que lo haga?",NEU,NEU
EST004_539,EST004,Yo por eso les digo,NEU,NEU
EST003_367,EST003,Fernanda Funez ha compartido una publicación.,NEU,NEU
EST004_830,EST004,Escribí al grupo de industria,NEU,NEU
EST001_306,EST001,Pasenle los 100 USD,NEU,NEU
EST010_224,EST010,Ya les mande lo que tienen,NEU,NEU
EST010_112,EST010,13 con el mio,POS,POS
EST007_1115,EST007,"Disfrutando de mis últimas presentaciones junto con coro 💙💛
FUCAIN 2025",POS,POS
EST001_1743,EST001,"Man, la verdad es que le hemos metido ganas",POS,POS
EST007_249,EST007,para tomar nota de todos los pequeños detalles para evitar inconvenientes,POS,POS
EST002_490,EST002,"Es buen docente, con 5 de él te bastaría para mejorar toda la carrera. Pero me gusta esta otra forma, lo siento más limpio.",POS,POS
EST007_1038,EST007,Es cierto yo que ya lleve diseño de compiladores se los recomiendo mejor,POS,POS
EST001_1517,EST001,Con solo 4 creo que serían muy buenas clases.,POS,POS
EST001_2091,EST001,Hacen buen dupla 👀,POS,POS
EST008_073,EST008,"Listo, esta bueno.",POS,POS
EST001_644,EST001,La actual está buena,POS,POS
EST001_1452,EST001,El Campus se mira mejor que el parque,POS,POS
EST001_1635,EST001,"Así dicen todos al inicio, ya va venir lo bonito 💀",POS,POS
EST004_263,EST004,Dios quiera todo salga bien 🙌🏻,POS,POS
EST001_741,EST001,Ya están reservadas. Estamos a 1-2 días.,POS,NEU
EST002_518,EST002,"Entiendo, pero tranqui, hoy juega la H y debemos estar positivos.",POS,POS
EST007_720,EST007,"Recuerden ""Ya pagamos"" Entre todos los gastos serian como 5k ya Tenemos reconocimientos hecho Programas de las empresas determinados para nosotros Ya solo faltan hoy y mañana hay que decir todo lo posible",POS,NEU
EST004_896,EST004,Solo vos faltas,POS,NEU
EST001_1450,EST001,"Suerte bro, la necesitarás.",POS,NEU
EST010_065,EST010,Hagala... No pasa nada oiga,POS,POS
